127.0.0.1 - - [26/Oct/2015:00:15:34 +0800] "GET / HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:15:44 +0800] "GET /B2CforBook/index.jsp HTTP/1.1" 200 12587
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:15:44 +0800] "GET /B2CforBook/css/minified.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:30:37 +0800] "GET /B2CforBook/css/minified.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:35:09 +0800] "GET /B2CforBook/index.jsp HTTP/1.1" 200 12587
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:35:09 +0800] "GET /B2CforBook/css/minified.css HTTP/1.1" 200 267075
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:35:09 +0800] "GET /B2CforBook/js/minified.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:35:09 +0800] "GET /B2CforBook/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:35:09 +0800] "GET /B2CforBook/js/modernizr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:35:09 +0800] "GET /B2CforBook/css/owl.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:35:09 +0800] "GET /B2CforBook/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:35:09 +0800] "GET /B2CforBook/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:35:09 +0800] "GET /B2CforBook/js/jquery.flexslider-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:35:09 +0800] "GET /B2CforBook/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:35:09 +0800] "GET /B2CforBook/rev-slider/img/slides/Street-Fashion.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:35:09 +0800] "GET /B2CforBook/rev-slider/img/slides/3303349658_cfaebb811f_o.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:35:09 +0800] "GET /B2CforBook/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:35:09 +0800] "GET /B2CforBook/img/transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:35:10 +0800] "GET /B2CforBook/font/fontawesome/fonts/fontawesome.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:37:58 +0800] "GET /B2CforBook/css/minified.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:38:14 +0800] "GET /B2CforBook/header.jsp HTTP/1.1" 200 5462
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:39:23 +0800] "GET /B2CforBook/header.jsp HTTP/1.1" 200 5462
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:39:23 +0800] "GET /B2CforBook/css/minified.css HTTP/1.1" 200 267075
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:39:23 +0800] "GET /B2CforBook/js/modernizr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:39:23 +0800] "GET /B2CforBook/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:39:23 +0800] "GET /B2CforBook/css/owl.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:39:23 +0800] "GET /B2CforBook/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:39:23 +0800] "GET /B2CforBook/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:39:23 +0800] "GET /B2CforBook/js/minified.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:39:23 +0800] "GET /B2CforBook/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:39:23 +0800] "GET /B2CforBook/js/jquery.flexslider-min.js HTTP/1.1" 304 -
